Date,daily_trips,daily_miles,annual_members_cumulative,1-day_pass_sales,3_day_passes_purchased,7-day_pass_sales
6/21/2016,53564,116215,177895,1331,144,0
6/22/2016,55749,119611,178168,1476,157,0
6/23/2016,53206,115262,178354,1253,160,0
6/24/2016,54186,123440,178545,2142,224,0
6/25/2016,43000,123815,178715,4069,176,0
6/26/2016,42992,117472,178893,3784,156,0
6/27/2016,47023,100253,179061,1400,164,0
6/28/2016,49593,99918,179215,1099,114,0
6/29/2016,54882,114793,179403,1402,128,0
6/30/2016,54843,125575,179625,1571,141,0
7/1/2016,39665,82871,179756,1316,139,null
7/2/2016,35835,111151,179903,3596,314,null
7/3/2016,35347,111116,180016,4095,169,null
7/4/2016,34859,109745,180158,3826,155,null
7/5/2016,43736,92107,180338,1357,160,null
7/6/2016,51336,109240,180540,1288,153,null
7/7/2016,48724,99975,180725,1255,113,null
7/8/2016,44400,91632,180852,1258,152,null
7/9/2016,38138,107359,180990,2844,145,null
7/10/2016,41985,123282,181172,3280,137,null
7/11/2016,52853,122260,181381,1440,211,null
7/12/2016,56515,120414,181571,1472,192,null
7/13/2016,55471,121029,181748,1510,146,null
7/14/2016,50345,108541,181877,1326,126,null
7/15/2016,48558,104701,182016,1709,173,null
7/16/2016,38405,103429,182144,3281,122,null
7/17/2016,41346,120635,182314,3440,153,null
7/18/2016,43681,97216,182488,1062,154,null
7/19/2016,54587,116806,182624,1498,139,null
7/20/2016,57213,128799,182792,1601,158,null
7/21/2016,54832,128476,182950,1553,161,null
7/22/2016,49185,105666,183072,1701,176,null
7/23/2016,37522,101810,183177,2932,138,null
7/24/2016,39634,113680,183332,2966,114,null
7/25/2016,35376,85145,183473,920,150,null
7/26/2016,52904,108783,183595,1385,168,null
7/27/2016,54148,115744,183731,1403,132,null
7/28/2016,50134,98694,183846,1292,123,null
7/29/2016,37693,81355,183937,1441,162,null
7/30/2016,27780,72197,184039,2242,112,null
7/31/2016,27651,70377,184157,1641,82,null
8/1/2016,49395,101134,184325,1359,166,null
8/2/2016,56744,116187,184558,1636,181,null
8/3/2016,56992,118370,184766,1827,143,null
8/4/2016,56587,118563,184960,1778,148,null
8/5/2016,53286,116534,185186,2012,185,null
8/6/2016,44209,125188,185436,4159,153,null
8/7/2016,43631,116183,185682,3856,149,null
8/8/2016,52251,115847,185956,1753,184,null
8/9/2016,56101,114892,186223,1701,165,null
8/10/2016,50100,101761,186401,1158,109,null
8/11/2016,47420,93639,186596,1238,152,null
8/12/2016,44729,90685,186771,1467,144,null
8/13/2016,38903,100035,186990,3333,125,null
8/14/2016,32961,74055,187173,2154,91,null
8/15/2016,49056,107305,187394,1417,175,null
8/16/2016,50411,103010,187601,1295,164,null
8/17/2016,53983,113583,187820,1430,138,null
8/18/2016,53209,115041,187998,1459,163,null
8/19/2016,51658,110723,188186,1862,175,null
8/20/2016,45808,138864,188499,4385,167,null
8/21/2016,35041,96941,188725,2664,127,null
8/22/2016,54201,118995,188996,1679,192,null
8/23/2016,58665,127012,189297,1675,170,null
8/24/2016,58134,127066,189577,1597,160,null
8/25/2016,53480,111985,189856,1436,169,null
8/26/2016,52026,112005,190156,1878,197,null
8/27/2016,45673,120578,190480,3767,173,null
8/28/2016,44639,121056,190844,3560,159,null
8/29/2016,53279,115101,191255,1530,174,null
8/30/2016,57392,121098,191713,1510,160,null
8/31/2016,57200,118815,192380,1320,136,null
9/1/2016,38174,77415,192592,714,104,null
9/2/2016,52999,126790,192814,2314,252,null
9/3/2016,41629,117476,193055,4009,268,null
9/4/2016,46020,140347,193326,5467,185,null
9/5/2016,45431,118022,193677,3778,190,null
9/6/2016,52432,108743,194065,1018,178,null
9/7/2016,60278,130391,194396,1328,199,null
9/8/2016,61551,130259,194674,1511,179,null
9/9/2016,56804,118213,194908,1582,178,null
9/10/2016,48454,127252,195189,3549,229,null
9/11/2016,52238,136353,195499,3572,216,null
9/12/2016,61083,127447,195832,1620,225,null
9/13/2016,64818,135366,196122,1462,198,null
9/14/2016,58928,121511,196388,1369,157,null
9/15/2016,67312,140436,196637,1612,240,null
9/16/2016,65257,145454,196886,2047,225,null
9/17/2016,59199,154037,197163,5117,210,null
9/18/2016,51685,131788,197449,3191,159,null
9/19/2016,34205,67180,197620,555,101,null
9/20/2016,64881,135085,197880,1454,200,null
9/21/2016,65453,142356,198118,1566,182,null
9/22/2016,67762,146370,198363,1681,207,null
9/23/2016,65499,142458,198577,2053,248,null
9/24/2016,53258,137355,198827,3990,212,null
9/25/2016,53563,143312,199198,3871,169,null
9/26/2016,61120,128011,199480,1375,170,null
9/27/2016,61334,122347,199739,1175,150,null
9/28/2016,59456,120072,199989,931,107,null
9/29/2016,55550,104364,200201,808,131,null
9/30/2016,21368,45194,200447,175,20,null
10/1/2016,39809,91771,200544,2017,133,null
10/2/2016,41018,100425,200664,2147,119,null
10/3/2016,56369,116682,200829,1514,183,null
10/4/2016,60196,123551,200954,1035,144,null
10/5/2016,65031,126942,201115,1240,160,null
10/6/2016,67580,137567,201234,1580,205,null
10/7/2016,65881,142612,201369,2398,222,null
10/8/2016,34624,86818,201485,2002,160,null
10/9/2016,21687,46334,201539,713,56,null
10/10/2016,52248,107487,201664,2013,163,null
10/11/2016,58754,113228,201761,1172,142,null
10/12/2016,57497,119851,201880,1170,153,null
10/13/2016,61209,117523,201984,1064,168,null
10/14/2016,60561,123000,202090,1592,183,null
10/15/2016,51991,138233,202215,3904,207,null
10/16/2016,48866,126550,202343,3195,172,null
10/17/2016,62649,132131,202502,1447,236,null
10/18/2016,68224,143635,202653,1656,194,null
10/19/2016,69758,145347,202772,1902,164,null
10/20/2016,63668,131686,202893,1377,198,null
10/21/2016,40865,80787,202960,724,102,null
10/22/2016,25301,55557,203019,658,45,null
10/23/2016,41462,99878,203137,2616,134,null
10/24/2016,55254,106893,203269,1145,146,null
10/25/2016,52667,96848,203349,716,102,null
10/26/2016,52466,103870,203410,809,85,null
10/27/2016,21054,39660,203449,101,23,null
10/28/2016,46233,89857,203492,766,111,null
10/29/2016,42513,103274,203579,2615,153,null
10/30/2016,37760,107572,203697,2971,114,null
10/31/2016,50071,107875,203787,1090,123,null
11/1/2016,55944,110056,203888,868,105,null
11/2/2016,62133,133258,203993,1242,141,null
11/3/2016,59632,124673,204108,943,174,null
11/4/2016,57867,126507,204195,1538,207,null
11/5/2016,48687,128639,204301,3416,177,null
11/6/2016,39413,104186,204428,2293,97,null
11/7/2016,49883,106484,204520,972,119,null
11/8/2016,56589,123718,204616,1137,107,null
11/9/2016,38050,75883,204660,257,40,null
11/10/2016,50863,111472,204728,813,139,null
11/11/2016,45826,105021,204802,1248,165,null
11/12/2016,34664,86968,204865,1916,114,null
11/13/2016,36806,95679,204958,2076,95,null
11/14/2016,48810,113590,205034,728,97,null
11/15/2016,22884,48797,205073,105,16,null
11/16/2016,53328,107831,205170,703,113,null
11/17/2016,53889,109418,205231,711,106,null
11/18/2016,53370,109802,205286,1051,125,null
11/19/2016,41208,98021,205376,2272,87,null
11/20/2016,20616,45772,205407,350,34,null
11/21/2016,32964,69754,205449,148,38,null
11/22/2016,36723,72592,205479,290,35,null
11/23/2016,34462,73005,205501,481,56,null
11/24/2016,12122,42343,205518,641,73,null
11/25/2016,20980,62444,205545,1011,67,null
11/26/2016,23810,65654,205572,1356,44,null
11/27/2016,24076,74381,205607,945,31,null
11/28/2016,42086,83300,205667,485,42,null
11/29/2016,14584,30989,205696,48,9,null
11/30/2016,24434,52424,205729,117,10,null
12/1/2016,43233,90239,205762,389,58,null
12/2/2016,42358,89092,205794,440,52,null
12/3/2016,29853,70853,205824,854,58,null
12/4/2016,27454,71729,205857,930,28,null
12/5/2016,35927,80214,205897,278,38,null
12/6/2016,33325,67187,205939,228,26,null
12/7/2016,38010,76605,205967,270,18,null
12/8/2016,39621,72219,205998,235,23,null
12/9/2016,33540,63950,206021,214,31,null
12/10/2016,22379,52716,206033,490,20,null
12/11/2016,17798,41740,206049,287,6,null
12/12/2016,29035,58701,206066,175,14,null
12/13/2016,39023,68858,206090,299,21,null
12/14/2016,37799,71798,206130,257,16,null
12/15/2016,25002,45840,206145,80,13,null
12/16/2016,24484,48288,206171,139,11,null
12/17/2016,6993,22363,206176,36,7,null
12/18/2016,16295,38459,206200,168,14,null
12/19/2016,25648,50405,206225,119,12,null
12/20/2016,27677,50408,206250,202,22,null
12/21/2016,30611,55746,206270,244,20,null
12/22/2016,30874,56441,206293,302,18,null
12/23/2016,26335,53318,206320,399,27,null
12/24/2016,8014,28033,206334,147,10,null
12/25/2016,9919,38209,206369,1052,43,null
12/26/2016,10774,32446,206400,315,27,null
12/27/2016,25946,61379,206450,960,68,null
12/28/2016,23596,52937,206476,619,38,null
12/29/2016,13202,29631,206503,104,8,null
12/30/2016,21366,45743,206543,641,49,null
12/31/2016,15925,46810,206585,798,33,null
1/1/2017,16009,50761,206624,1237,33,null
1/2/2017,8921,21545,206675,142,15,null
1/3/2017,14198,25879,206728,42,15,null
1/4/2017,34039,69966,206778,475,29,null
1/5/2017,28393,52446,206845,214,17,null
1/6/2017,24177,48964,206879,157,17,null
1/7/2017,4425,23556,206892,21,4,null
1/8/2017,6417,22756,206907,27,2,null
1/9/2017,15856,35209,206933,30,2,null
1/10/2017,23232,46216,206955,67,12,null
1/11/2017,32419,63099,206981,208,37,null
1/12/2017,39783,84763,207021,479,30,null
1/13/2017,33611,75847,207059,373,43,null
1/14/2017,13819,43090,207087,252,33,null
1/15/2017,17384,50738,207120,476,19,null
1/16/2017,24110,51664,207163,448,30,null
1/17/2017,18646,40697,207198,63,15,null
1/18/2017,30857,57978,207224,146,17,null
1/19/2017,36561,72077,207262,391,27,null
1/20/2017,26752,56479,207288,184,19,null
1/21/2017,26610,64662,207336,957,31,null
1/22/2017,20523,49368,207368,520,25,null
1/23/2017,15822,37687,207399,54,20,null
1/24/2017,13171,35619,207414,28,5,null
1/25/2017,36931,71418,207453,301,29,null
1/26/2017,33002,63750,207501,223,28,null
1/27/2017,32394,70189,207540,231,23,null
1/28/2017,21302,53955,207567,402,25,null
1/29/2017,22527,62854,207620,585,26,null
1/30/2017,29616,59975,207673,163,32,null
1/31/2017,25169,48684,207706,62,19,null
2/1/2017,35221,77639,207749,194,22,null
2/2/2017,34517,70727,207793,216,27,null
2/3/2017,29632,64701,207825,181,32,null
2/4/2017,19204,45120,207861,413,14,null
2/5/2017,20059,50532,207890,337,19,null
2/6/2017,33415,72513,207930,305,49,null
2/7/2017,23053,57760,207962,54,17,null
2/8/2017,40428,90430,208011,483,32,null
2/9/2017,0,0,208018,0,0,null
2/10/2017,1997,8344,208030,15,1,null
2/11/2017,8959,26272,208037,170,13,null
2/12/2017,5801,26468,208054,26,5,null
2/13/2017,23857,58710,208076,72,18,null
2/14/2017,29668,78530,208099,154,16,null
2/15/2017,32052,72383,208137,170,30,null
2/16/2017,29120,63551,208163,104,16,null
2/17/2017,28735,67530,208200,247,37,null
2/18/2017,30571,99126,208258,2078,114,null
2/19/2017,36963,125166,208347,3746,122,null
2/20/2017,32292,91412,208436,1512,75,null
2/21/2017,32643,84767,208516,308,48,null
2/22/2017,38119,90651,208594,439,36,null
2/23/2017,42434,98554,208658,828,88,null
2/24/2017,47031,117155,208767,1534,119,null
2/25/2017,33345,104309,208886,2035,77,null
2/26/2017,24713,75196,208966,849,33,null
2/27/2017,35984,80194,209035,388,42,null
2/28/2017,41835,92642,209119,504,60,null
3/1/2017,40592,85944,209229,393,51,null
3/2/2017,35739,73839,209310,320,44,null
3/3/2017,31105,68702,209370,292,39,null
3/4/2017,15646,43108,209404,252,14,null
3/5/2017,15919,50924,209451,312,22,null
3/6/2017,32467,72776,209536,321,39,null
3/7/2017,29683,63654,209587,181,29,null
3/8/2017,43470,101573,209656,694,55,null
3/9/2017,45251,99450,209728,764,34,null
3/10/2017,18412,41971,209758,95,15,null
3/11/2017,15185,48379,209781,183,27,null
3/12/2017,13442,38114,209799,167,9,null
3/13/2017,27417,58768,209827,205,14,null
3/14/2017,25988,61702,209843,380,31,null
3/15/2017,25988,61702,209859,380,31,null
3/16/2017,25988,61702,209870,380,31,null
3/17/2017,7098,25393,209888,151,15,null
3/18/2017,4106,17446,209910,93,6,null
3/19/2017,10550,33344,209943,339,21,null
3/20/2017,27378,60363,210002,288,21,null
3/21/2017,36824,78104,210073,479,47,null
3/22/2017,26927,55713,210121,140,15,null
3/23/2017,29885,74345,210160,291,25,null
3/24/2017,34019,82681,210199,485,39,null
3/25/2017,29647,86293,210267,1721,60,null
3/26/2017,19893,55139,210318,546,30,null
3/27/2017,26301,59614,210388,318,40,null
3/28/2017,21590,46003,210448,91,20,null
3/29/2017,42430,91525,210559,830,97,null
3/30/2017,39746,91041,210623,669,61,null
3/31/2017,6946,23462,210670,20,5,null
Date,daily_trips,daily_miles,annual_members_cumulative,1-day_pass_sales,3_day_passes_purchased,7-day_pass_sales
4/1/2017,23849,67299,210739,767,43,null
4/2/2017,39779,130087,210915,3639,58,null
4/3/2017,43484,104217,211075,970,68,null
4/4/2017,29990,63091,211171,183,23,null
4/5/2017,47635,108281,211310,1192,59,null
4/6/2017,18020,44411,211362,67,12,null
4/7/2017,35779,81358,211440,456,43,null
4/8/2017,35936,108886,211589,2719,83,null
4/9/2017,43895,137240,211806,4390,114,null
4/10/2017,50422,124356,212050,2164,139,null
4/11/2017,57309,150222,212298,2699,135,null
4/12/2017,51188,113959,212484,1493,108,null
4/13/2017,52915,131228,212648,2388,129,null
4/14/2017,52230,149382,212812,3451,273,null
4/15/2017,42531,134526,212950,3981,235,null
4/16/2017,48137,157912,213172,6143,361,null
4/17/2017,53247,127619,213385,2019,234,null
4/18/2017,53809,126129,213580,1624,194,null
4/19/2017,45788,97587,213703,738,55,null
4/20/2017,44260,108427,213819,1065,172,null
4/21/2017,39868,92348,213913,1194,129,null
4/22/2017,34596,101444,214028,5173,102,null
4/23/2017,49106,142563,214278,4541,420,null
4/24/2017,48692,103241,214462,1143,123,null
4/25/2017,20332,47829,214552,201,36,null
4/26/2017,37727,81859,214654,595,109,null
4/27/2017,52035,122394,214793,1412,266,null
4/28/2017,62199,163665,214965,2963,458,null
4/29/2017,57701,180290,215219,5699,562,null
4/30/2017,42928,125305,215455,2921,340,null
5/1/2017,56218,136675,215724,1813,311,null
5/2/2017,61205,142585,216017,1827,309,null
5/3/2017,59251,141936,216239,1537,247,null
5/4/2017,57428,144583,216436,1626,239,null
5/5/2017,24009,58278,216535,355,52,null
5/6/2017,46616,127879,216768,3349,363,null
5/7/2017,34293,90625,216928,1921,196,null
5/8/2017,51553,114260,217147,1230,253,null
5/9/2017,56461,118257,217341,1179,199,null
5/10/2017,58452,136080,217512,1362,225,null
5/11/2017,57208,135699,217673,1313,205,null
5/12/2017,56671,132477,217840,1784,189,null
5/13/2017,5704,28193,217905,117,0,null
5/14/2017,38729,114819,218120,2664,222,null
5/15/2017,54715,129870,218356,1279,185,null
5/16/2017,64504,157411,218690,1850,283,null
5/17/2017,65791,153500,219023,1864,241,null
5/18/2017,63753,149837,219304,1929,270,null
5/19/2017,62143,145832,219564,2310,275,null
5/20/2017,47858,135405,219776,3486,251,null
5/21/2017,54873,160019,220097,4903,287,null
5/22/2017,24627,61049,220269,218,22,null
5/23/2017,60024,139680,220513,1579,224,null
5/24/2017,60621,135482,220735,1558,153,null
5/25/2017,17494,50743,220840,143,27,null
5/26/2017,53763,133402,221049,2224,306,null
5/27/2017,46533,145924,221271,4590,511,null
5/28/2017,46724,151063,221515,5229,374,null
5/29/2017,26321,75825,221745,1149,77,null
5/30/2017,50192,114629,222057,962,204,null
5/31/2017,59494,142097,222764,1596,197,null
6/1/2017,67404,163063,222977,1957,289,null
6/2/2017,66905,157299,223162,2315,357,null
6/3/2017,56263,155712,223356,4627,356,null
6/4/2017,40138,100571,223520,2270,103,null
6/5/2017,55882,123795,223719,1286,204,null
6/6/2017,41268,86679,223834,523,89,null
6/7/2017,64452,149853,223969,1536,258,null
6/8/2017,62652,132716,224131,1631,266,null
6/9/2017,66504,156787,224289,2513,313,null
6/10/2017,57086,150903,224455,4764,296,null
6/11/2017,51427,140711,224654,3941,179,null
6/12/2017,57870,133564,224889,1561,201,null
6/13/2017,60920,129444,225078,1407,179,null
6/14/2017,60510,137988,225231,1573,218,null
6/15/2017,64761,144513,225430,1885,227,null
6/16/2017,56401,128201,225556,1507,177,null
6/17/2017,34899,83755,225683,2243,209,null
6/18/2017,49469,138414,225864,3730,295,null
6/19/2017,38308,88057,226025,878,158,null
6/20/2017,64670,146794,226220,1781,215,null
6/21/2017,67215,154525,226394,1666,258,null
6/22/2017,66304,158453,226589,1818,260,null
6/23/2017,55321,129797,226695,1585,205,null
6/24/2017,52150,141282,226849,4277,314,null
6/25/2017,54645,158625,227015,4527,256,null
6/26/2017,62661,145321,227211,2024,297,null
6/27/2017,64762,151112,227418,1697,229,null
6/28/2017,67740,159263,227679,1893,208,null
6/29/2017,64260,146419,227855,1703,210,null
6/30/2017,58660,132583,228047,2024,293,null
7/1/2017,36737,107126,228157,2828,372,null
7/2/2017,43035,128397,228306,4314,458,null
7/3/2017,48193,130240,228473,3243,316,null
7/4/2017,49924,146441,228669,4929,315,null
7/5/2017,60321,149487,228908,1886,267,null
7/6/2017,62147,140767,229085,1646,264,null
7/7/2017,44068,103656,229241,1283,216,null
7/8/2017,55015,146438,229453,4138,333,null
7/9/2017,57118,159914,229680,4471,340,null
7/10/2017,60908,141463,229933,1546,359,null
7/11/2017,61670,141463,230159,1269,227,null
7/12/2017,61786,132874,230336,1376,179,null
7/13/2017,56475,126527,230514,1322,180,null
7/14/2017,31851,70477,230610,570,101,null
7/15/2017,56499,148067,230772,4761,378,null
7/16/2017,56833,153666,230981,4497,308,null
7/17/2017,62555,141323,231225,1675,289,null
7/18/2017,66234,144623,231416,1724,243,null
7/19/2017,63916,143277,231603,1617,267,null
7/20/2017,59665,131871,231741,1439,229,null
7/21/2017,60074,136330,231882,1929,304,null
7/22/2017,48013,124272,232049,3634,332,null
7/23/2017,46945,117035,232212,3164,249,null
7/24/2017,43793,104460,232359,989,113,null
7/25/2017,65339,148542,232521,1549,285,null
7/26/2017,70329,168603,232674,2054,248,null
7/27/2017,65773,144443,232820,1666,214,null
7/28/2017,63911,151514,232984,2293,297,null
7/29/2017,52955,132509,233138,4085,324,null
7/30/2017,59364,165423,233360,5214,376,null
7/31/2017,64231,153123,233614,1862,263,null
8/1/2017,66676,147654,233824,1813,272,null
8/2/2017,56179,122622,233958,3291,139,null
8/3/2017,66144,146858,234160,1849,257,null
8/4/2017,56391,128749,234312,2212,325,null
8/5/2017,58966,169511,234524,5299,415,null
8/6/2017,56473,161492,234715,4686,292,null
8/7/2017,23395,55927,234851,249,34,null
8/8/2017,65228,145901,235084,1738,331,null
8/9/2017,67874,170524,235283,1952,300,null
8/10/2017,66245,151415,235457,1834,262,null
8/11/2017,63134,147098,235623,2360,358,null
8/12/2017,60531,173581,235890,5409,405,null
8/13/2017,57511,162040,236098,4755,337,null
8/14/2017,61460,139535,236328,1816,294,null
8/15/2017,52460,105695,236504,948,125,null
8/16/2017,68434,159032,236681,1905,251,null
8/17/2017,66654,156810,236872,2087,261,null
8/18/2017,36619,90704,236984,840,124,null
8/19/2017,62440,186037,237324,5992,461,null
8/20/2017,55438,147379,237518,4218,313,null
8/21/2017,61055,138059,237710,1832,277,null
8/22/2017,60541,133409,237878,1477,260,null
8/23/2017,65069,141360,238057,1712,219,null
8/24/2017,66306,151449,238257,1820,315,null
8/25/2017,64217,156344,238406,2316,325,null
8/26/2017,50111,132832,238546,3621,214,null
8/27/2017,54594,145524,238771,4135,278,null
8/28/2017,60885,133126,239016,1616,272,null
8/29/2017,35151,67448,239163,424,104,null
8/30/2017,65328,147325,239347,1760,309,null
8/31/2017,64881,144852,239519,1727,260,null
9/1/2017,54881,129382,239653,1775,294,null
9/2/2017,37810,107949,239785,3359,420,null
9/3/2017,30955,83988,239906,2394,175,null
9/4/2017,55284,164623,240126,5298,362,null
9/5/2017,65443,140362,240378,1607,265,null
9/6/2017,42318,86395,240541,445,90,null
9/7/2017,69571,148669,240750,1542,356,null
9/8/2017,69616,154397,240903,1976,322,null
9/9/2017,60187,150847,241108,4196,272,null
9/10/2017,60750,154588,241329,4056,301,null
9/11/2017,71964,166177,241563,1992,276,null
9/12/2017,74623,161263,241775,1737,238,null
9/13/2017,69616,146802,241991,1471,199,null
9/14/2017,72128,150535,242211,1551,244,null
9/15/2017,72361,160138,242393,2088,323,null
9/16/2017,61077,156839,242552,4304,297,null
9/17/2017,60003,156834,242748,3869,229,null
9/18/2017,64207,138078,242968,1387,190,null
9/19/2017,57977,115451,243128,914,146,null
9/20/2017,71222,150377,243309,1385,202,null
9/21/2017,67799,152463,243503,1690,191,null
9/22/2017,70192,163114,243715,2315,259,null
9/23/2017,62748,165582,243967,4821,322,null
9/24/2017,57503,148926,244277,3681,176,null
9/25/2017,69271,156367,244551,1537,258,null
9/26/2017,71566,156779,244809,1359,257,null
9/27/2017,69942,147977,245051,1268,200,null
9/28/2017,70951,148394,245299,1490,224,null
9/29/2017,67246,141709,245558,1875,288,null
9/30/2017,50200,113613,245923,2694,214,null
10/1/2017,55503,139011,246193,3511,235,null
10/2/2017,65509,141748,246402,1408,242,null
10/3/2017,69105,135800,246566,1258,194,null
10/4/2017,71453,150324,246742,1377,188,null
10/5/2017,70173,150437,246893,1365,251,null
10/6/2017,70249,148395,247025,2104,383,null
10/7/2017,63630,153928,247206,4996,356,null
10/8/2017,41039,100790,247336,2233,192,null
10/9/2017,38390,78912,247453,594,84,null
10/10/2017,74117,155978,247615,2016,312,null
10/11/2017,63587,126748,247767,1146,161,null
10/12/2017,61244,123433,247896,1070,169,null
10/13/2017,67016,136608,248038,1768,308,null
10/14/2017,58771,142476,248167,3680,347,null
10/15/2017,56529,137364,248382,3381,276,null
10/16/2017,61729,125800,248552,997,192,null
10/17/2017,64480,122345,248712,1030,170,null
10/18/2017,70233,147842,248878,1202,249,null
10/19/2017,72311,143664,249016,1491,274,null
10/20/2017,72174,157255,249162,2246,351,null
10/21/2017,65872,169402,249378,5093,276,null
10/22/2017,62148,153444,249596,4596,200,null
10/23/2017,69273,143899,249825,1659,279,null
10/24/2017,48077,95599,249930,466,82,null
10/25/2017,71284,142007,250090,1133,246,null
10/26/2017,64002,123419,250187,973,191,null
10/27/2017,69265,139481,250319,1991,352,null
10/28/2017,61345,143571,250499,4306,317,null
10/29/2017,9537,20810,250556,213,8,null
10/30/2017,49246,95502,250681,771,121,null
10/31/2017,60242,115329,250892,1076,166,null
11/1/2017,60772,111304,250975,717,125,null
11/2/2017,70810,144455,251060,1485,291,null
11/3/2017,71817,147055,251163,2275,335,null
11/4/2017,53433,120119,251269,3086,243,null
11/5/2017,34943,76281,251349,1263,80,null
11/6/2017,57606,116318,251433,1052,133,null
11/7/2017,36361,69588,251487,643,77,null
11/8/2017,54211,107852,251537,597,95,null
11/9/2017,58416,113119,251591,837,171,null
11/10/2017,38432,74794,251614,425,82,null
11/11/2017,28142,55350,251657,832,64,null
11/12/2017,32471,73187,251699,1191,62,null
11/13/2017,38752,72112,251751,314,47,null
11/14/2017,52278,95328,251802,493,59,null
11/15/2017,54230,104590,251842,524,70,null
11/16/2017,49737,93532,251884,521,74,null
11/17/2017,48989,93476,251928,712,74,null
11/18/2017,27745,58136,251965,872,53,null
11/19/2017,31597,66078,252008,1020,64,null
11/20/2017,45120,85295,252041,501,49,null
11/21/2017,52448,95288,252075,960,69,null
11/22/2017,32297,69530,252103,458,64,null
11/23/2017,13705,32527,252115,806,103,null
11/24/2017,23723,64012,252151,1129,95,null
11/25/2017,30510,73542,252184,1995,85,null
11/26/2017,27180,60652,252227,904,63,null
11/27/2017,46732,99410,252277,553,46,null
11/28/2017,51166,97329,252316,455,58,null
11/29/2017,55290,107040,252365,638,71,null
11/30/2017,51699,97110,252414,509,83,null
12/1/2017,50708,99868,252473,695,123,null
12/2/2017,38922,83660,252514,1513,100,null
12/3/2017,33728,77915,252561,1037,66,null
12/4/2017,49630,92142,252618,649,63,null
12/5/2017,41792,85008,252686,381,57,null
12/6/2017,46335,87328,252724,368,55,null
12/7/2017,45367,94653,252761,427,65,null
12/8/2017,41330,81217,252791,443,58,null
12/9/2017,10804,20955,252811,112,15,null
12/10/2017,19815,43621,252830,287,26,null
